QUADRO,TEMPO_EMPRESA,ATS
PECS,0,0
PECS,1,0.01
PECS,2,0.02
PECS,3,0.03
PECS,4,0.046
PECS,5,0.062
PECS,6,0.08
PECS,7,0.093
PECS,8,0.106
PECS,9,0.12
PECS,10,133
PECS,11,146
PECS,12,0.16
PECS,13,173
PECS,14,186
PECS,15,0.2
PECS,16,216
PECS,17,232
PECS,18,0.25
PECS,19,266
PECS,20,282
PECS,21,0.3
PECS,22,316
PECS,23,332
PECS,24,0.35
PECS,25,366
PECS,26,382
PECS,27,0.4
PECS,28,416
PECS,29,432
PECS,30,0.45
PECS,31,0.45
PECS,32,0.45
PECS,33,0.45
PECS,34,0.45
PECS,35,0.45
PECS,36,0.45
PECS,37,0.45
PECS,38,0.45
PECS,39,0.45
PECS,40,0.45
PECS,41,0.45
PECS,42,0.45
PECS,43,0.45
PECS,44,0.45
PECS,45,0.45
PECS,46,0.45
PECS,47,0.45
PECS,48,0.45
PECS,49,0.45
PECS,50,0.45
PECS,51,0.45
PECS,52,0.45
PECS,53,0.45
PECS,54,0.45
PECS,55,0.45
PECS,56,0.45
PECS,57,0.45
PECS,58,0.45
PECS,59,0.45
PECS,60,0.45
PUCS,0,0
PUCS,1,0
PUCS,2,0.05
PUCS,3,0.05
PUCS,4,0.1025
PUCS,5,0.1025
PUCS,6,0.1576
PUCS,7,0.1576
PUCS,8,0.2155
PUCS,9,0.2155
PUCS,10,0.2763
PUCS,11,0.2763
PUCS,12,0.3401
PUCS,13,0.3401
PUCS,14,0.4071
PUCS,15,0.4071
PUCS,16,0.4775
PUCS,17,0.4775
PUCS,18,0.5513
PUCS,19,0.5513
PUCS,20,0.6289
PUCS,21,0.6289
PUCS,22,0.7103
PUCS,23,0.7103
PUCS,24,0.7959
PUCS,25,0.7959
PUCS,26,0.8856
PUCS,27,0.8856
PUCS,28,0.8856
PUCS,29,0.8856
PUCS,30,0.8856
PUCS,31,0.8856
PUCS,32,0.8856
PUCS,33,0.8856
PUCS,34,0.8856
PUCS,35,0.8856
PUCS,36,0.8856
PUCS,37,0.8856
PUCS,38,0.8856
PUCS,39,0.8856
PUCS,40,0.8856
PUCS,41,0.8856
PUCS,42,0.8856
PUCS,43,0.8856
PUCS,44,0.8856
PUCS,45,0.8856
PUCS,46,0.8856
PUCS,47,0.8856
PUCS,48,0.8856
PUCS,49,0.8856
PUCS,50,0.8856
PUCS,51,0.8856
PUCS,52,0.8856
PUCS,53,0.8856
PUCS,54,0.8856
PUCS,55,0.8856
PUCS,56,0.8856
PUCS,57,0.8856
PUCS,58,0.8856
PUCS,59,0.8856
PUCS,60,0.8856
