SEXO,TEMPO_EMPRESA,FATOR
M,0,1
M,1,1
M,2,1
M,3,1
M,4,1
M,5,1
M,6,1
M,7,1
M,8,1
M,9,1
M,10,1
M,11,1
M,12,1
M,13,1
M,14,1
M,15,1
M,16,1
M,17,1
M,18,1
M,19,1
M,20,1
M,21,1
M,22,1
M,23,1
M,24,1
M,25,1
M,26,1
M,27,1
M,28,1
M,29,1
M,30,1
M,31,1
M,32,1
M,33,1
M,34,1
M,35,1
M,36,1
M,37,1
M,38,1
M,39,1
M,40,1
M,41,1
M,42,1
M,43,1
M,44,1
M,45,1
M,46,1
M,47,1
M,48,1
M,49,1
M,50,1
M,51,1
M,52,1
M,53,1
M,54,1
M,55,1
M,56,1
M,57,1
M,58,1
M,59,1
M,60,1
M,61,1
M,62,1
M,63,1
M,64,1
M,65,1
M,66,1
M,67,1
M,68,1
M,69,1
M,70,1
F,0,1
F,1,1
F,2,1
F,3,1
F,4,1
F,5,1
F,6,1
F,7,1
F,8,1
F,9,1
F,10,1
F,11,1
F,12,1
F,13,1
F,14,1
F,15,1
F,16,1
F,17,1
F,18,1
F,19,1
F,20,1
F,21,1
F,22,1
F,23,1
F,24,1
F,25,1
F,26,1
F,27,1
F,28,1
F,29,1
F,30,1
F,31,1
F,32,1
F,33,1
F,34,1
F,35,1
F,36,1
F,37,1
F,38,1
F,39,1
F,40,1
F,41,1
F,42,1
F,43,1
F,44,1
F,45,1
F,46,1
F,47,1
F,48,1
F,49,1
F,50,1
F,51,1
F,52,1
F,53,1
F,54,1
F,55,1
F,56,1
F,57,1
F,58,1
F,59,1
F,60,1
F,61,1
F,62,1
F,63,1
F,64,1
F,65,1
F,66,1
F,67,1
F,68,1
F,69,1
F,70,1
