QUADRO,NIVEL,CLASSE,SALARIO_BASE
PECS,Superior,1,7896.53
PECS,Superior,2,8370.31
PECS,Superior,3,8872.53
PECS,Superior,4,9404.89
PECS,Superior,5,9969.18
PECS,Superior,6,10567.32
PECS,Superior,7,11148.53
PECS,Superior,8,11761.35
PECS,Superior,9,12408.59
PECS,Superior,10,13091.07
PECS,Superior,11,13745.63
PECS,Superior,12,14364.18
PECS,Superior,13,14938.74
PECS,Superior,14,15536.29
PECS,Superior,15,16080.06
PECS,Superior,16,16642.87
PECS,Superior,17,17225.37
PECS,Superior,18,17828.24
PECS,Superior,19,18388.31
PUCS,Superior,1,6616.28
PUCS,Superior,2,6894.22
PUCS,Superior,3,7190.24
PUCS,Superior,4,7490.41
PUCS,Superior,5,7808.41
PUCS,Superior,6,8140.60
PUCS,Superior,7,8434.48
PUCS,Superior,8,8741.32
PUCS,Superior,9,9072.93
PUCS,Superior,10,9414.35
PUCS,Superior,11,9769.86
PUCS,Superior,12,10140.56
PUCS,Superior,13,10538.25
PUCS,Superior,14,10953.37
PUCS,Superior,15,11386.63
PUCS,Superior,16,11838.93
PUCS,Superior,17,12310.86
PUCS,Superior,18,12781.63
PUCS,Superior,19,13254.54
PUCS,Superior,20,13748.73
PUCS,Superior,21,14265.04
PUCS,Superior,22,14804.68
PUCS,Superior,23,15368.71
PECS,Medio,1,3000
PECS,Medio,2,3200
PECS,Medio,3,3400
PECS,Medio,4,3600
PECS,Medio,5,3800
PECS,Medio,6,4000
PECS,Medio,7,4200
PECS,Medio,8,4400
PECS,Medio,9,4600
PECS,Medio,10,4800
PECS,Medio,11,5000
PECS,Medio,12,5200
PECS,Medio,13,5400
PECS,Medio,14,5600
PECS,Medio,15,5800
PECS,Medio,16,6000
PECS,Medio,17,6200
PECS,Medio,18,6400
PECS,Medio,19,6600
PUCS,Medio,1,3000
PUCS,Medio,2,3200
PUCS,Medio,3,3400
PUCS,Medio,4,3600
PUCS,Medio,5,3800
PUCS,Medio,6,4000
PUCS,Medio,7,4200
PUCS,Medio,8,4400
PUCS,Medio,9,4600
PUCS,Medio,10,4800
PUCS,Medio,11,5000
PUCS,Medio,12,5200
PUCS,Medio,13,5400
PUCS,Medio,14,5600
PUCS,Medio,15,5800
PUCS,Medio,16,6000
PUCS,Medio,17,6200
PUCS,Medio,18,6400
PUCS,Medio,19,6600
PUCS,Medio,20,6800
PUCS,Medio,21,7000
PUCS,Medio,22,7200
PUCS,Medio,23,7400
