Sexo,Idade,Prob
F,0,18.020
F,1,1.693
F,2,0.878
F,3,0.576
F,4,0.421
F,5,0.328
F,6,0.268
F,7,0.227
F,8,0.200
F,9,0.184
F,10,0.178
F,11,0.182
F,12,0.208
F,13,0.244
F,14,0.283
F,15,0.328
F,16,0.380
F,17,0.425
F,18,0.460
F,19,0.488
F,20,0.516
F,21,0.548
F,22,0.581
F,23,0.614
F,24,0.649
F,25,0.685
F,26,0.725
F,27,0.766
F,28,0.811
F,29,0.859
F,30,0.913
F,31,0.974
F,32,1.039
F,33,1.109
F,34,1.185
F,35,1.270
F,36,1.366
F,37,1.480
F,38,1.616
F,39,1.770
F,40,1.940
F,41,2.122
F,42,2.315
F,43,2.519
F,44,2.734
F,45,2.968
F,46,3.222
F,47,3.493
F,48,3.781
F,49,4.088
F,50,4.422
F,51,4.785
F,52,5.176
F,53,5.595
F,54,6.048
F,55,6.537
F,56,7.071
F,57,7.661
F,58,8.313
F,59,9.028
F,60,9.813
F,61,10.660
F,62,11.560
F,63,12.513
F,64,13.534
F,65,14.630
F,66,15.842
F,67,17.215
F,68,18.786
F,69,20.551
F,70,22.456
F,71,24.508
F,72,26.791
F,73,29.342
F,74,32.161
F,75,35.198
F,76,38.463
F,77,42.050
F,78,46.009
F,79,50.355
F,80,1000.000
M,0,25.130
M,1,2.356
M,2,1.267
M,3,0.851
M,4,0.633
M,5,0.500
M,6,0.413
M,7,0.354
M,8,0.316
M,9,0.295
M,10,0.293
M,11,0.312
M,12,0.352
M,13,0.442
M,14,0.648
M,15,1.059
M,16,1.341
M,17,1.606
M,18,1.838
M,19,2.037
M,20,2.242
M,21,2.441
M,22,2.584
M,23,2.655
M,24,2.671
M,25,2.666
M,26,2.669
M,27,2.686
M,28,2.729
M,29,2.794
M,30,2.865
M,31,2.937
M,32,3.027
M,33,3.138
M,34,3.269
M,35,3.418
M,36,3.583
M,37,3.763
M,38,3.957
M,39,4.168
M,40,4.396
M,41,4.650
M,42,4.940
M,43,5.273
M,44,5.644
M,45,6.056
M,46,6.491
M,47,6.928
M,48,7.355
M,49,7.789
M,50,8.239
M,51,8.746
M,52,9.351
M,53,10.083
M,54,10.921
M,55,11.839
M,56,12.793
M,57,13.758
M,58,14.711
M,59,15.676
M,60,16.700
M,61,17.825
M,62,19.060
M,63,20.431
M,64,21.942
M,65,23.540
M,66,25.264
M,67,27.233
M,68,29.510
M,69,32.072
M,70,34.857
M,71,37.805
M,72,40.921
M,73,44.180
M,74,47.612
M,75,51.281
M,76,55.240
M,77,59.488
M,78,64.057
M,79,68.978
M,80,1000.000
